feature_code,field_id,instance,metabolite_name,metabolite_name_short,annotation_source,annotation_status,category,subclass,ukb_field_title
p23552_i0,23552,0,Total lipids in very large HDL,Total lipids in very large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Very large HDL (average diameter 14.3 nm),Total lipids in very large HDL
p23553_i0,23553,0,Phospholipids in very large HDL,Phospholipids in very large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Very large HDL (average diameter 14.3 nm),Phospholipids in very large HDL
p23554_i0,23554,0,Cholesterol in very large HDL,Cholesterol in very large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Very large HDL (average diameter 14.3 nm),Cholesterol in very large HDL
p23555_i0,23555,0,Cholesteryl esters in very large HDL,Cholesteryl esters in very large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Very large HDL (average diameter 14.3 nm),Cholesteryl esters in very large HDL
p23556_i0,23556,0,Free cholesterol in very large HDL,Free cholesterol in very large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Very large HDL (average diameter 14.3 nm),Free cholesterol in very large HDL
p23557_i0,23557,0,Triglycerides in very large HDL,Triglycerides in very large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Very large HDL (average diameter 14.3 nm),Triglycerides in very large HDL
p23558_i0,23558,0,Concentration of large HDL particles,Concentration of large HDL particles,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Large HDL (average diameter 12.1 nm),Concentration of large HDL particles
p23559_i0,23559,0,Total lipids in large HDL,Total lipids in large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Large HDL (average diameter 12.1 nm),Total lipids in large HDL
p23560_i0,23560,0,Phospholipids in large HDL,Phospholipids in large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Large HDL (average diameter 12.1 nm),Phospholipids in large HDL
p23561_i0,23561,0,Cholesterol in large HDL,Cholesterol in large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Large HDL (average diameter 12.1 nm),Cholesterol in large HDL
p23562_i0,23562,0,Cholesteryl esters in large HDL,Cholesteryl esters in large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Large HDL (average diameter 12.1 nm),Cholesteryl esters in large HDL
p23563_i0,23563,0,Free cholesterol in large HDL,Free cholesterol in large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Large HDL (average diameter 12.1 nm),Free cholesterol in large HDL
p23564_i0,23564,0,Triglycerides in large HDL,Triglycerides in large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Large HDL (average diameter 12.1 nm),Triglycerides in large HDL
p23565_i0,23565,0,Concentration of medium HDL particles,Concentration of medium HDL particles,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Medium HDL (average diameter 10.9 nm),Concentration of medium HDL particles
p23566_i0,23566,0,Total lipids in medium HDL,Total lipids in medium HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Medium HDL (average diameter 10.9 nm),Total lipids in medium HDL
p23567_i0,23567,0,Phospholipids in medium HDL,Phospholipids in medium HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Medium HDL (average diameter 10.9 nm),Phospholipids in medium HDL
p23568_i0,23568,0,Cholesterol in medium HDL,Cholesterol in medium HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Medium HDL (average diameter 10.9 nm),Cholesterol in medium HDL
p23569_i0,23569,0,Cholesteryl esters in medium HDL,Cholesteryl esters in medium HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Medium HDL (average diameter 10.9 nm),Cholesteryl esters in medium HDL
p23569_i1,23569,1,Cholesteryl esters in medium HDL,Cholesteryl esters in medium HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Medium HDL (average diameter 10.9 nm),Cholesteryl esters in medium HDL
p23570_i0,23570,0,Free cholesterol in medium HDL,Free cholesterol in medium HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Medium HDL (average diameter 10.9 nm),Free cholesterol in medium HDL
p23571_i0,23571,0,Triglycerides in medium HDL,Triglycerides in medium HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Medium HDL (average diameter 10.9 nm),Triglycerides in medium HDL
p23572_i0,23572,0,Concentration of small HDL particles,Concentration of small HDL particles,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Small HDL (average diameter 8.7 nm),Concentration of small HDL particles
p23573_i0,23573,0,Total lipids in small HDL,Total lipids in small HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Small HDL (average diameter 8.7 nm),Total lipids in small HDL
p23574_i0,23574,0,Phospholipids in small HDL,Phospholipids in small HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Small HDL (average diameter 8.7 nm),Phospholipids in small HDL
p23575_i0,23575,0,Cholesterol in small HDL,Cholesterol in small HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Small HDL (average diameter 8.7 nm),Cholesterol in small HDL
p23576_i0,23576,0,Cholesteryl esters in small HDL,Cholesteryl esters in small HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Small HDL (average diameter 8.7 nm),Cholesteryl esters in small HDL
p23577_i0,23577,0,Free cholesterol in small HDL,Free cholesterol in small HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Small HDL (average diameter 8.7 nm),Free cholesterol in small HDL
p23578_i0,23578,0,Triglycerides in small HDL,Triglycerides in small HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Lipoprotein subclasses,Small HDL (average diameter 8.7 nm),Triglycerides in small HDL
p23579_i0,23579,0,Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL,Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios,Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL
p23580_i0,23580,0,Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL,Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios,Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL
p23581_i0,23581,0,Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL,Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios,Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL
p23582_i0,23582,0,Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL,Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios,Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL
p23583_i0,23583,0,Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL,Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios,Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL
p23584_i0,23584,0,Phospholipids to total lipids ratio in very large VLDL,Phospholipids to total lipids ratio in very large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very large VLDL ratios,Phospholipids to total lipids ratio in very large VLDL
p23585_i0,23585,0,Cholesterol to total lipids ratio in very large VLDL,Cholesterol to total lipids ratio in very large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very large VLDL ratios,Cholesterol to total lipids ratio in very large VLDL
p23586_i0,23586,0,Cholesteryl esters to total lipids ratio in very large VLDL,Cholesteryl esters to total lipids ratio in very large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very large VLDL ratios,Cholesteryl esters to total lipids ratio in very large VLDL
p23587_i0,23587,0,Free cholesterol to total lipids ratio in very large VLDL,Free cholesterol to total lipids ratio in very large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very large VLDL ratios,Free cholesterol to total lipids ratio in very large VLDL
p23588_i0,23588,0,Triglycerides to total lipids ratio in very large VLDL,Triglycerides to total lipids ratio in very large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very large VLDL ratios,Triglycerides to total lipids ratio in very large VLDL
p23589_i0,23589,0,Phospholipids to total lipids ratio in large VLDL,Phospholipids to total lipids ratio in large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Large VLDL ratios,Phospholipids to total lipids ratio in large VLDL
p23590_i0,23590,0,Cholesterol to total lipids ratio in large VLDL,Cholesterol to total lipids ratio in large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Large VLDL ratios,Cholesterol to total lipids ratio in large VLDL
p23591_i0,23591,0,Cholesteryl esters to total lipids ratio in large VLDL,Cholesteryl esters to total lipids ratio in large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Large VLDL ratios,Cholesteryl esters to total lipids ratio in large VLDL
p23592_i0,23592,0,Free cholesterol to total lipids ratio in large VLDL,Free cholesterol to total lipids ratio in large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Large VLDL ratios,Free cholesterol to total lipids ratio in large VLDL
p23593_i0,23593,0,Triglycerides to total lipids ratio in large VLDL,Triglycerides to total lipids ratio in large VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Large VLDL ratios,Triglycerides to total lipids ratio in large VLDL
p23594_i0,23594,0,Phospholipids to total lipids ratio in medium VLDL,Phospholipids to total lipids ratio in medium VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Medium VLDL ratios,Phospholipids to total lipids ratio in medium VLDL
p23595_i0,23595,0,Cholesterol to total lipids ratio in medium VLDL,Cholesterol to total lipids ratio in medium VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Medium VLDL ratios,Cholesterol to total lipids ratio in medium VLDL
p23596_i0,23596,0,Cholesteryl esters to total lipids ratio in medium VLDL,Cholesteryl esters to total lipids ratio in medium VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Medium VLDL ratios,Cholesteryl esters to total lipids ratio in medium VLDL
p23597_i0,23597,0,Free cholesterol to total lipids ratio in medium VLDL,Free cholesterol to total lipids ratio in medium VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Medium VLDL ratios,Free cholesterol to total lipids ratio in medium VLDL
p23598_i0,23598,0,Triglycerides to total lipids ratio in medium VLDL,Triglycerides to total lipids ratio in medium VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Medium VLDL ratios,Triglycerides to total lipids ratio in medium VLDL
p23599_i0,23599,0,Phospholipids to total lipids ratio in small VLDL,Phospholipids to total lipids ratio in small VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Small VLDL ratios,Phospholipids to total lipids ratio in small VLDL
p23600_i0,23600,0,Cholesterol to total lipids ratio in small VLDL,Cholesterol to total lipids ratio in small VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Small VLDL ratios,Cholesterol to total lipids ratio in small VLDL
p23601_i0,23601,0,Cholesteryl esters to total lipids ratio in small VLDL,Cholesteryl esters to total lipids ratio in small VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Small VLDL ratios,Cholesteryl esters to total lipids ratio in small VLDL
p23602_i0,23602,0,Free cholesterol to total lipids ratio in small VLDL,Free cholesterol to total lipids ratio in small VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Small VLDL ratios,Free cholesterol to total lipids ratio in small VLDL
p23603_i0,23603,0,Triglycerides to total lipids ratio in small VLDL,Triglycerides to total lipids ratio in small VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Small VLDL ratios,Triglycerides to total lipids ratio in small VLDL
p23604_i0,23604,0,Phospholipids to total lipids ratio in very small VLDL,Phospholipids to total lipids ratio in very small VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very small VLDL ratios,Phospholipids to total lipids ratio in very small VLDL
p23605_i0,23605,0,Cholesterol to total lipids ratio in very small VLDL,Cholesterol to total lipids ratio in very small VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very small VLDL ratios,Cholesterol to total lipids ratio in very small VLDL
p23606_i0,23606,0,Cholesteryl esters to total lipids ratio in very small VLDL,Cholesteryl esters to total lipids ratio in very small VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very small VLDL ratios,Cholesteryl esters to total lipids ratio in very small VLDL
p23607_i0,23607,0,Free cholesterol to total lipids ratio in very small VLDL,Free cholesterol to total lipids ratio in very small VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very small VLDL ratios,Free cholesterol to total lipids ratio in very small VLDL
p23608_i0,23608,0,Triglycerides to total lipids ratio in very small VLDL,Triglycerides to total lipids ratio in very small VLDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very small VLDL ratios,Triglycerides to total lipids ratio in very small VLDL
p23609_i0,23609,0,Phospholipids to total lipids ratio in IDL,Phospholipids to total lipids ratio in IDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,IDL ratios,Phospholipids to total lipids ratio in IDL
p23610_i0,23610,0,Cholesterol to total lipids ratio in IDL,Cholesterol to total lipids ratio in IDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,IDL ratios,Cholesterol to total lipids ratio in IDL
p23611_i0,23611,0,Cholesteryl esters to total lipids ratio in IDL,Cholesteryl esters to total lipids ratio in IDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,IDL ratios,Cholesteryl esters to total lipids ratio in IDL
p23612_i0,23612,0,Free cholesterol to total lipids ratio in IDL,Free cholesterol to total lipids ratio in IDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,IDL ratios,Free cholesterol to total lipids ratio in IDL
p23613_i0,23613,0,Triglycerides to total lipids ratio in IDL,Triglycerides to total lipids ratio in IDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,IDL ratios,Triglycerides to total lipids ratio in IDL
p23614_i0,23614,0,Phospholipids to total lipids ratio in large LDL,Phospholipids to total lipids ratio in large LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Large LDL ratios,Phospholipids to total lipids ratio in large LDL
p23615_i0,23615,0,Cholesterol to total lipids ratio in large LDL,Cholesterol to total lipids ratio in large LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Large LDL ratios,Cholesterol to total lipids ratio in large LDL
p23616_i0,23616,0,Cholesteryl esters to total lipids ratio in large LDL,Cholesteryl esters to total lipids ratio in large LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Large LDL ratios,Cholesteryl esters to total lipids ratio in large LDL
p23617_i0,23617,0,Free cholesterol to total lipids ratio in large LDL,Free cholesterol to total lipids ratio in large LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Large LDL ratios,Free cholesterol to total lipids ratio in large LDL
p23618_i0,23618,0,Triglycerides to total lipids ratio in large LDL,Triglycerides to total lipids ratio in large LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Large LDL ratios,Triglycerides to total lipids ratio in large LDL
p23619_i0,23619,0,Phospholipids to total lipids ratio in medium LDL,Phospholipids to total lipids ratio in medium LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Medium LDL ratios,Phospholipids to total lipids ratio in medium LDL
p23620_i0,23620,0,Cholesterol to total lipids ratio in medium LDL,Cholesterol to total lipids ratio in medium LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Medium LDL ratios,Cholesterol to total lipids ratio in medium LDL
p23621_i0,23621,0,Cholesteryl esters to total lipids ratio in medium LDL,Cholesteryl esters to total lipids ratio in medium LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Medium LDL ratios,Cholesteryl esters to total lipids ratio in medium LDL
p23622_i0,23622,0,Free cholesterol to total lipids ratio in medium LDL,Free cholesterol to total lipids ratio in medium LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Medium LDL ratios,Free cholesterol to total lipids ratio in medium LDL
p23623_i0,23623,0,Triglycerides to total lipids ratio in medium LDL,Triglycerides to total lipids ratio in medium LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Medium LDL ratios,Triglycerides to total lipids ratio in medium LDL
p23624_i0,23624,0,Phospholipids to total lipids ratio in small LDL,Phospholipids to total lipids ratio in small LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Small LDL ratios,Phospholipids to total lipids ratio in small LDL
p23625_i0,23625,0,Cholesterol to total lipids ratio in small LDL,Cholesterol to total lipids ratio in small LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Small LDL ratios,Cholesterol to total lipids ratio in small LDL
p23626_i0,23626,0,Cholesteryl esters to total lipids ratio in small LDL,Cholesteryl esters to total lipids ratio in small LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Small LDL ratios,Cholesteryl esters to total lipids ratio in small LDL
p23627_i0,23627,0,Free cholesterol to total lipids ratio in small LDL,Free cholesterol to total lipids ratio in small LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Small LDL ratios,Free cholesterol to total lipids ratio in small LDL
p23628_i0,23628,0,Triglycerides to total lipids ratio in small LDL,Triglycerides to total lipids ratio in small LDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Small LDL ratios,Triglycerides to total lipids ratio in small LDL
p23629_i0,23629,0,Phospholipids to total lipids ratio in very large HDL,Phospholipids to total lipids ratio in very large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very large HDL ratios,Phospholipids to total lipids ratio in very large HDL
p23630_i0,23630,0,Cholesterol to total lipids ratio in very large HDL,Cholesterol to total lipids ratio in very large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very large HDL ratios,Cholesterol to total lipids ratio in very large HDL
p23631_i0,23631,0,Cholesteryl esters to total lipids ratio in very large HDL,Cholesteryl esters to total lipids ratio in very large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very large HDL ratios,Cholesteryl esters to total lipids ratio in very large HDL
p23632_i0,23632,0,Free cholesterol to total lipids ratio in very large HDL,Free cholesterol to total lipids ratio in very large HDL,UK Biobank Data Showcase Resource 3543: https://biobank.ndph.ox.ac.uk/ukb/ukb/docs/Nightingale_biomarker_groups.txt,mapped,Relative lipoprotein lipid concentrations,Very large HDL ratios,Free cholesterol to total lipids ratio in very large HDL
